B: 1/2
camp	cons	rand	mcpc	lin
1458	301 	292 	500 	539 	
2259	66  	59  	77  	70  	
2261	67  	63  	42  	72  	
2821	203 	181 	148 	212 	
2997	375 	314 	325 	379 	
3358	102 	107 	310 	298 	
3386	242 	247 	318 	400 	
3427	188 	185 	360 	328 	
3476	180 	168 	284 	284 	
s2  	1013	999 	1772	1849	
s3  	711 	617 	592 	733 	
Total	1724	1616	2364	2582	

B: 1/4
camp	cons	rand	mcpc	lin
1458	166 	134 	500 	338 	
2259	44  	34  	52  	52  	
2261	46  	46  	42  	46  	
2821	118 	119 	140 	127 	
2997	248 	149 	208 	262 	
3358	65  	43  	310 	249 	
3386	113 	108 	257 	272 	
3427	98  	93  	360 	288 	
3476	111 	87  	284 	284 	
s2  	553 	465 	1711	1431	
s3  	456 	348 	442 	487 	
Total	1009	813 	2153	1918	

B: 1/8
camp	cons	rand	mcpc	lin
1458	83  	77  	500 	285 	
2259	26  	20  	31  	27  	
2261	28  	25  	24  	25  	
2821	77  	58  	73  	91  	
2997	115 	65  	97  	157 	
3358	16  	17  	263 	304 	
3386	61  	69  	119 	204 	
3427	47  	39  	233 	233 	
3476	62  	51  	156 	275 	
s2  	269 	253 	1271	1301	
s3  	246 	168 	225 	300 	
Total	515 	421 	1496	1601	

B: 1/16
camp	cons	rand	mcpc	lin
1458	43  	48  	500 	263 	
2259	13  	12  	14  	17  	
2261	14  	9   	15  	13  	
2821	40  	37  	39  	64  	
2997	52  	42  	45  	103 	
3358	11  	10  	112 	288 	
3386	26  	23  	65  	131 	
3427	22  	16  	119 	175 	
3476	30  	26  	73  	248 	
s2  	132 	123 	869 	1105	
s3  	119 	100 	113 	197 	
Total	251 	223 	982 	1302	

B: 1/32
camp	cons	rand	mcpc	lin
1458	28  	23  	242 	220 	
2259	8   	4   	8   	11  	
2261	6   	8   	7   	8   	
2821	32  	32  	23  	44  	
2997	33  	29  	19  	80  	
3358	7   	5   	75  	226 	
3386	19  	10  	38  	113 	
3427	9   	11  	58  	175 	
3476	23  	18  	40  	186 	
s2  	86  	67  	453 	920 	
s3  	79  	73  	57  	143 	
Total	165 	140 	510 	1063	

