B: 1/2
camp	cons	rand	mcpc	lin 	rldp
1458	286 	294 	499 	521 	520 	
2259	64  	56  	77  	84  	94  	
2261	61  	57  	42  	68  	71  	
2821	195 	200 	148 	213 	233 	
2997	374 	316 	325 	350 	387 	
3358	94  	120 	310 	301 	327 	
3386	237 	238 	304 	326 	369 	
3427	186 	173 	360 	367 	379 	
3476	166 	167 	284 	294 	297 	
s2  	969 	992 	1757	1809	1892	
s3  	694 	629 	592 	715 	785 	
Total	1663	1621	2349	2524	2677	

B: 1/4
camp	cons	rand	mcpc	lin 	rldp
1458	143 	142 	499 	467 	505 	
2259	39  	28  	55  	55  	59  	
2261	45  	34  	37  	39  	48  	
2821	114 	113 	124 	125 	150 	
2997	240 	235 	216 	224 	258 	
3358	62  	49  	308 	300 	307 	
3386	121 	127 	214 	213 	254 	
3427	92  	92  	339 	329 	365 	
3476	104 	80  	265 	276 	284 	
s2  	522 	490 	1625	1585	1715	
s3  	438 	410 	432 	443 	515 	
Total	960 	900 	2057	2028	2230	

B: 1/8
camp	cons	rand	mcpc	lin 	rldp
1458	72  	71  	492 	410 	499 	
2259	26  	19  	27  	29  	33  	
2261	27  	25  	21  	17  	22  	
2821	62  	56  	71  	73  	99  	
2997	174 	162 	108 	86  	175 	
3358	36  	25  	262 	285 	293 	
3386	63  	60  	113 	145 	167 	
3427	38  	33  	262 	295 	334 	
3476	56  	44  	161 	262 	252 	
s2  	265 	233 	1290	1397	1545	
s3  	289 	262 	227 	205 	329 	
Total	554 	495 	1517	1602	1874	

B: 1/16
camp	cons	rand	mcpc	lin 	rldp
1458	40  	26  	445 	392 	492 	
2259	8   	13  	21  	18  	20  	
2261	13  	11  	12  	11  	16  	
2821	38  	34  	39  	49  	61  	
2997	106 	102 	58  	71  	111 	
3358	12  	18  	152 	268 	287 	
3386	34  	23  	73  	90  	114 	
3427	20  	14  	158 	278 	317 	
3476	32  	27  	87  	221 	199 	
s2  	138 	108 	915 	1249	1409	
s3  	165 	160 	130 	149 	208 	
Total	303 	268 	1045	1398	1617	

B: 1/32
camp	cons	rand	mcpc	lin 	rldp
1458	25  	15  	338 	417 	491 	
2259	7   	5   	14  	12  	15  	
2261	8   	7   	5   	6   	9   	
2821	26  	24  	21  	34  	47  	
2997	68  	55  	21  	40  	78  	
3358	9   	16  	82  	257 	259 	
3386	22  	17  	34  	60  	77  	
3427	12  	4   	84  	298 	290 	
3476	16  	13  	43  	173 	154 	
s2  	84  	65  	581 	1205	1271	
s3  	109 	91  	61  	92  	149 	
Total	193 	156 	642 	1297	1420	

